,display_text_width,favorite_count,retweet_count,followers_count,friends_count,polarity,subjectivity,time
8963,161,2,0,1393.0,1041.0,0.4333333333333333,0.8333333333333334,9491
8964,106,1,0,58.0,604.0,-0.0138888888888888,0.2916666666666667,9490
8965,130,1,0,219.0,120.0,0.4928571428571428,0.5678571428571428,9489
8966,28,0,0,492.0,385.0,0.0,0.0,9487
8967,114,2,1,10847.0,1247.0,0.0,0.0,9484
8968,161,2,0,23968.0,24608.0,0.1083333333333333,0.2083333333333333,9480
8969,99,2,0,29.0,585.0,0.0,0.0,9472
8970,22,2,0,178.0,490.0,0.0,0.0,9471
8971,111,0,0,245.0,798.0,0.35,0.3,9471
8972,27,0,0,4682.0,3279.0,0.0,0.0,9468
8973,43,1,0,5799.0,5740.0,0.0,0.0,9457
8974,31,0,0,111.0,313.0,0.5,0.5,9456
8975,27,0,0,7.0,29.0,0.0,0.0,3908
8976,46,0,0,1316.0,413.0,0.05,0.15,9456
8977,90,0,0,1936.0,418.0,-0.025,0.2,9454
8978,88,0,0,254.0,108.0,0.0,0.0,9451
8979,23,0,0,516.0,328.0,0.0,0.0,9448
8980,21,2,0,218.0,177.0,0.0,0.0,9447
8981,66,0,0,6335.0,4322.0,-0.4,0.6,9439
8982,153,0,0,15.0,105.0,-0.2625,0.3375,9439
8983,175,0,0,170.0,129.0,-0.0805555555555555,0.2055555555555555,9437
8984,162,112,16,325.0,156.0,0.1808712121212121,0.273989898989899,9423
8985,31,1,0,434.0,191.0,0.85,1.0,8260
8986,62,0,0,770.0,11.0,-0.1041666666666666,0.2291666666666666,9422
8987,96,0,0,551.0,276.0,0.256060606060606,0.359090909090909,9421
8988,56,0,0,255.0,183.0,0.5,0.3,9418
8989,58,0,0,227.0,324.0,0.0,0.65,9417
8990,50,1,0,212.0,262.0,0.0,0.0,9384
8991,53,0,0,251.0,907.0,0.7,0.6000000000000001,9416
8992,96,0,0,4519.0,4997.0,0.1458333333333333,0.1833333333333333,9412
8993,133,5,0,407.0,2226.0,0.1912037037037036,0.5856481481481481,9407
8994,104,0,0,1305.0,1085.0,0.4928571428571428,0.5678571428571428,9406
8995,69,0,0,1098.0,690.0,0.4333333333333333,0.8333333333333334,8501
8996,104,1,0,715.0,546.0,-0.0208333333333333,0.4375,9372
8997,29,0,0,333.0,435.0,0.0,0.0,9402
8998,167,8,0,1123.0,3239.0,0.3733333333333333,0.3888888888888889,9400
8999,117,0,0,240.0,451.0,0.4333333333333333,0.8333333333333334,9397
9000,126,0,0,370.0,325.0,0.4333333333333333,0.8333333333333334,9396
9001,107,0,0,2774.0,3436.0,0.0681818181818181,0.7272727272727273,9388
9002,55,5,0,325.0,60.0,0.0,0.0,9388
9003,26,0,0,1213.0,1295.0,0.1363636363636363,0.4545454545454545,9386
9004,34,1,0,107.0,167.0,0.2,0.9,9384
9005,158,0,0,671.0,519.0,0.0,0.0,9379
9006,69,0,0,23.0,43.0,-0.05,0.1,9379
9007,59,73,24,1307.0,929.0,0.0,0.0,9378
9008,78,6,0,210.0,76.0,0.0,0.0,9375
9009,199,0,0,581.0,593.0,0.1778499278499278,0.3957431457431457,9370
9010,103,0,0,121.0,555.0,0.2166666666666666,0.4166666666666667,9369
9011,27,29,0,1679.0,1046.0,0.0,0.0,9365
9012,59,0,0,286.0,995.0,0.0,0.0,8783
9013,27,0,0,416.0,310.0,0.0,0.0,8948
9014,104,1,0,42.0,166.0,0.4928571428571428,0.5678571428571428,9363
9015,61,2,0,171.0,2185.0,0.0,0.4,9362
9016,43,0,0,160.0,824.0,-0.2,0.6,9362
9017,15,0,0,159.0,362.0,0.0,0.0,9360
9018,20,2,0,268.0,935.0,0.0,0.0,9358
9019,31,0,0,1772.0,2868.0,0.48828125,0.3,9357
9020,18,0,0,894.0,975.0,1.0,0.3,9355
9021,106,8,0,391.0,252.0,0.25,0.3333333333333333,9355
9022,86,0,0,445.0,509.0,-0.05,0.05,9355
9023,111,0,0,4467.0,382.0,0.4928571428571428,0.5678571428571428,9354
9024,84,0,0,847.0,575.0,0.2125,0.375,7370
9025,116,1,0,1.0,42.0,0.0,0.0,9350
9026,126,2,1,469.0,319.0,0.4333333333333333,0.8333333333333334,9347
9027,57,1,0,1114.0,971.0,0.2,0.2,3719
